Objects
100
,,Global Angle (Quaternion) backpack:backpack2,,,,,,,Global Angle (Quaternion) head:headPattern,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm,,,,,mm,mm,mm
40,0,-0.316887,-0.201721,0.77346,-0.510539,156.032,-2881.58,176.866,0.389669,-0.542501,-0.34171,0.661125,133.697,-2955.47,225.673
41,0,-0.316873,-0.201724,0.773253,-0.510862,155.939,-2881.53,176.88,0.387295,-0.547621,-0.343978,0.65711,133.523,-2955.57,225.792
42,0,-0.315751,-0.200667,0.774283,-0.510412,155.801,-2881.23,176.945,0.391394,-0.541956,-0.341664,0.660576,133.556,-2955.47,225.67
43,0,-0.31562,-0.200284,0.773306,-0.512121,155.659,-2881.19,176.962,0.380408,-0.55077,-0.341493,0.659792,133.33,-2955.29,225.84
44,0,-0.317943,-0.187793,0.769132,-0.521615,155.209,-2880.7,176.662,0.382362,-0.543323,-0.340685,0.665232,133.105,-2955.52,226.076
45,0,-0.315659,-0.196652,0.770316,-0.517977,155.238,-2880.86,176.875,0.384233,-0.543089,-0.338067,0.66568,133.025,-2955.56,226.096
46,0,-0.315518,-0.197779,0.772457,-0.514435,155.137,-2880.68,176.901,0.385121,-0.543503,-0.338089,0.664817,132.893,-2955.49,226.07
47,0,-0.313968,-0.199608,0.772349,-0.514838,155.125,-2880.53,176.913,0.38778,-0.538149,-0.337009,0.668167,133.018,-2955.31,225.907
48,0,-0.312058,-0.209447,0.774346,-0.509058,154.938,-2880.43,177.123,0.388091,-0.537769,-0.335568,0.669017,133.007,-2955.39,226.001
49,0,-0.313775,-0.211772,0.775017,-0.506009,154.736,-2880.31,177.001,0.389751,-0.53835,-0.337435,0.666642,132.912,-2955.43,225.964
50,0,-0.314927,-0.206298,0.773289,-0.510182,154.445,-2880.12,176.973,0.39188,-0.53992,-0.33329,0.666209,132.876,-2955.29,225.922
51,0,-0.31608,-0.197427,0.77068,-0.516883,154.09,-2879.74,176.741,0.388769,-0.538287,-0.338949,0.666498,132.74,-2955.43,225.869
52,0,-0.318046,-0.196108,0.76799,-0.520173,153.852,-2879.71,176.611,0.395038,-0.533788,-0.345816,0.662892,132.568,-2955.42,225.699
53,0,-0.315088,-0.195062,0.771238,-0.517554,153.737,-2879.19,176.91,0.397539,-0.537542,-0.335559,0.663635,132.455,-2955.67,225.271
54,0,-0.31823,-0.192511,0.76791,-0.52152,153.401,-2879.25,176.768,0.411901,-0.53523,-0.330207,0.659416,132.393,-2956,224.411
55,0,-0.317707,-0.190738,0.766975,-0.523862,153.251,-2878.99,176.853,0.421296,-0.521268,-0.338963,0.660223,131.953,-2956.87,224.087
56,0,-0.31736,-0.191914,0.766613,-0.524172,153.162,-2878.79,176.801,0.432128,-0.524831,-0.33174,0.654039,130.851,-2957.86,223.287
57,0,-0.316727,-0.188697,0.768029,-0.52365,152.887,-2878.19,176.801,0.44155,-0.522562,-0.344623,0.642804,129.462,-2959.07,221.726
58,0,-0.31615,-0.186987,0.766463,-0.526896,152.823,-2877.8,176.975,0.47116,-0.531109,-0.371377,0.59834,127.58,-2960.76,219.144
59,0,-0.317541,-0.177959,0.766396,-0.529279,152.596,-2877.15,176.564,0.475589,-0.53803,-0.380338,0.582822,125.751,-2962.12,217.064
60,0,-0.308865,-0.188966,0.762706,-0.535886,152.847,-2877.58,177.098,0.481606,-0.537589,-0.398365,0.566004,123.685,-2964.16,215.209
61,0,-0.310367,-0.189868,0.762642,-0.534789,152.824,-2877.2,177.114,0.52086,-0.538437,-0.436799,0.497993,120.983,-2965.98,212.155
62,0,-0.319827,-0.185808,0.762072,-0.531444,152.546,-2876.55,176.711,0.572051,-0.555752,-0.403269,0.448633,119.275,-2967.91,207.893
63,0,-0.315215,-0.186876,0.769245,-0.52343,152.512,-2875.8,176.722,0.596478,-0.550388,-0.392282,0.4329,116.797,-2971.18,205.798
64,0,-0.321831,-0.174039,0.765557,-0.529205,152.126,-2875.07,176.038,0.249894,0.846632,-0.36369,0.297482,116.765,-2992.65,194.792
65,0,-0.321192,-0.171585,0.764622,-0.53174,152.163,-2874.65,175.908,0.243071,0.855138,-0.340425,0.306211,115.867,-2995.46,191.799
66,0,-0.321875,-0.168389,0.764004,-0.533235,152.025,-2874.17,175.561,0.226173,0.87746,-0.329628,0.265058,113.973,-2996.8,189.153
67,0,-0.319303,-0.16999,0.765533,-0.532079,152.304,-2873.94,175.81,0.22479,0.894217,-0.314271,0.226009,112.41,-2997.21,186.359
68,0,-0.31883,-0.170857,0.766904,-0.530107,152.26,-2873.68,175.813,0.223767,0.907129,-0.305141,0.184212,110.743,-2997.21,184.361
69,0,-0.319847,-0.170789,0.766923,-0.529489,152.293,-2873.57,175.856,0.215238,0.921595,-0.300804,0.117697,107.649,-2997.57,182.951
70,0,-0.322106,-0.167141,0.76684,-0.529403,152.079,-2873.25,175.689,0.251715,0.90664,-0.25452,0.223298,110.76,-2998.73,177.432
71,0,-0.322876,-0.164026,0.766909,-0.529809,151.968,-2872.97,175.683,0.268905,0.90493,-0.191593,0.268483,112.03,-3000.01,172.931
72,0,-0.323488,-0.161998,0.769628,-0.526103,151.902,-2872.73,175.512,0.296699,0.888399,-0.173422,0.304372,113.517,-2999.75,170.633
73,0,-0.325629,-0.161522,0.768549,-0.526507,151.796,-2872.72,175.503,0.300965,0.892045,-0.151514,0.301195,114.929,-3000.03,169.318
74,0,-0.327363,-0.159234,0.769483,-0.52476,151.667,-2872.64,175.34,0.309308,0.887786,-0.169658,0.295602,115.969,-2999.86,169.153
75,0,-0.327934,-0.158486,0.770277,-0.523465,151.673,-2872.53,175.259,0.304265,0.883981,-0.177192,0.307575,117.023,-3000.1,170.591
76,0,-0.328802,-0.15555,0.771071,-0.522631,151.525,-2872.27,175.076,0.305132,0.8821,-0.181985,0.309316,117.521,-2999.89,171.302
77,0,-0.328134,-0.155213,0.772091,-0.521644,151.527,-2872.11,174.933,0.305416,0.886251,-0.170607,0.3036,117.449,-2999.55,171.373
78,0,-0.326856,-0.154376,0.772045,-0.522762,151.532,-2871.98,174.875,0.304805,0.889054,-0.170351,0.296071,117.101,-2999.35,171.908
79,0,-0.326314,-0.152056,0.772677,-0.522846,151.414,-2871.68,174.712,0.290673,0.896393,-0.172995,0.286464,117.137,-2999.8,172.546
80,0,-0.322787,-0.151002,0.774937,-0.521995,151.536,-2871.28,174.896,0.271658,0.901941,-0.177835,0.284745,118.137,-2999.64,172.961
81,0,-0.326336,-0.150978,0.771992,-0.524155,151.181,-2871.3,174.401,0.263156,0.90604,-0.185373,0.274733,118.235,-2999.36,173.686
82,0,-0.324554,-0.148886,0.77432,-0.522423,151.271,-2871,174.243,0.262714,0.904338,-0.189702,0.277789,118.157,-2999.58,174.26
83,0,-0.319121,-0.14883,0.778018,-0.520289,151.62,-2870.64,174.496,0.26386,0.903346,-0.190166,0.279609,118.067,-2999.64,174.718
84,0,-0.322522,-0.147991,0.774097,-0.524264,151.442,-2870.8,174.133,0.263815,0.90457,-0.1866,0.278092,118.037,-2999.37,174.915
85,0,-0.318742,-0.145518,0.777613,-0.52206,151.782,-2870.45,174.202,0.25322,0.909811,-0.192815,0.266358,117.526,-2999.42,175.754
86,0,-0.318559,-0.146477,0.77615,-0.524076,151.863,-2870.48,174.097,0.256933,0.907624,-0.193749,0.269567,117.393,-2999.33,176.123
87,0,-0.316506,-0.144563,0.777759,-0.523466,151.998,-2870.2,173.977,0.264957,0.903812,-0.194825,0.273798,117.026,-2999.1,176.61
88,0,-0.314917,-0.142853,0.778823,-0.523311,152.187,-2869.97,173.894,0.270039,0.900761,-0.193129,0.280017,116.977,-2999.08,176.929
89,0,-0.314804,-0.143396,0.777632,-0.524999,152.369,-2869.97,173.625,0.274953,0.898319,-0.192003,0.28383,116.849,-2999.3,177.259
90,0,-0.314446,-0.142305,0.777506,-0.525697,152.525,-2869.96,173.543,0.275953,0.897879,-0.190275,0.285411,116.912,-2999.3,177.561
91,0,-0.312657,-0.141038,0.777253,-0.527476,152.829,-2869.87,173.562,0.272887,0.898565,-0.191059,0.285675,117.086,-2999.59,177.766
92,0,-0.310899,-0.139308,0.777581,-0.528492,153.011,-2869.71,173.423,0.271502,0.896777,-0.196552,0.288867,117.031,-2999.67,178.383
93,0,-0.309068,-0.138939,0.77948,-0.526862,153.259,-2869.56,173.366,0.270185,0.898979,-0.195525,0.283913,117.025,-2999.65,178.612
94,0,-0.308527,-0.137694,0.780085,-0.526611,153.303,-2869.35,173.237,0.260696,0.90317,-0.195994,0.279119,117.633,-2999.72,178.616
95,0,-0.304946,-0.138016,0.785444,-0.520612,153.613,-2869.05,173.386,0.258614,0.904564,-0.183996,0.284652,118.189,-2999.35,178.604
96,0,-0.304167,-0.138111,0.784707,-0.522151,153.772,-2869.03,173.443,0.267126,0.887618,-0.166915,0.336032,120.638,-2999.51,178.006
97,0,-0.303335,-0.135778,0.786386,-0.52072,153.88,-2868.84,173.391,0.200687,0.921304,-0.111835,0.313715,124.081,-2997.69,173.767
98,0,-0.304589,-0.130467,0.785919,-0.522049,153.749,-2868.57,173.067,,,,,,,
99,0,-0.303163,-0.127165,0.783962,-0.526616,153.661,-2868.24,172.994,,,,,,,
100,0,-0.297955,-0.125555,0.789631,-0.52148,153.879,-2867.7,173.039,,,,,,,
101,0,-0.296528,-0.125849,0.793844,-0.515796,153.946,-2867.29,172.992,,,,,,,
102,0,-0.293975,-0.124781,0.795668,-0.514704,154.03,-2867.02,172.915,,,,,,,
103,0,-0.290955,-0.122668,0.796574,-0.515526,154.053,-2866.67,172.847,-0.105819,0.186637,-0.196254,0.956793,145.811,-2994.35,179.523
104,0,-0.290404,-0.1209,0.798798,-0.512806,154.036,-2866.34,172.464,,,,,,,
105,0,-0.288651,-0.12263,0.798094,-0.514478,153.91,-2866.39,172.491,,,,,,,
106,0,-0.289164,-0.116507,0.796433,-0.518174,153.604,-2866.25,172.202,,,,,,,
107,0,-0.287547,-0.114495,0.794562,-0.522378,153.285,-2866.17,171.865,,,,,,,
108,0,-0.28814,-0.109482,0.792798,-0.525795,152.855,-2866.06,171.583,,,,,,,
109,0,-0.290736,-0.103693,0.793677,-0.524211,152.299,-2865.94,171.053,,,,,,,
110,0,-0.289187,-0.101442,0.794654,-0.524028,152.057,-2865.98,170.823,,,,,,,
111,0,-0.289861,-0.0998965,0.794634,-0.523983,151.661,-2865.97,170.498,,,,,,,
112,0,-0.292849,-0.101402,0.79621,-0.519622,151.003,-2865.95,170.453,,,,,,,
113,0,-0.29707,-0.0998656,0.791826,-0.524202,150.207,-2866,170.163,,,,,,,
114,0,-0.296716,-0.108371,0.794511,-0.518621,149.715,-2866.14,170.338,,,,,,,
115,0,-0.2982,-0.114408,0.798549,-0.510202,149.556,-2866.09,170.531,-0.0820281,0.915567,0.301284,0.253451,173.134,-2970.99,151.799
116,0,-0.292227,-0.108829,0.795599,-0.519406,149.197,-2866.17,170.593,-0.109638,0.920011,0.291951,0.237325,176.303,-2969.07,152.76
117,0,-0.288103,-0.108255,0.794911,-0.52287,148.924,-2865.92,170.448,-0.171634,0.845213,0.276353,0.42401,192.681,-2964.35,161.492
118,0,-0.290659,-0.109015,0.798483,-0.515809,148.724,-2865.56,170.235,0.113942,0.942301,0.289214,-0.124264,172.337,-2965.27,142.103
119,0,-0.292616,-0.105901,0.793357,-0.523206,148.142,-2865.39,169.728,0.101305,0.936192,0.326023,-0.0836171,177.029,-2961.72,142.679
120,0,-0.293345,-0.101316,0.790338,-0.528252,147.58,-2865.01,169.283,0.0775783,0.9371,0.333203,-0.0692812,176.385,-2960.61,142.391
121,0,-0.299533,-0.110928,0.791516,-0.521035,147.352,-2864.9,168.887,0.0841918,0.945246,0.298899,-0.100409,172.16,-2962.5,144.399
122,0,-0.300965,-0.113809,0.792627,-0.517891,147.132,-2864.85,168.579,,,,,,,
123,0,-0.302568,-0.119069,0.792481,-0.515994,146.986,-2865.28,168.278,,,,,,,
124,0,-0.302396,-0.122539,0.790426,-0.518428,146.986,-2865.68,168.166,,,,,,,
125,0,-0.301033,-0.126146,0.791997,-0.515953,147.017,-2865.98,168.239,,,,,,,
126,0,-0.301242,-0.126102,0.796444,-0.508949,146.828,-2865.95,168.249,,,,,,,
127,0,-0.302386,-0.123921,0.794425,-0.511953,146.573,-2865.97,168.25,-0.256217,-0.0766687,0.934299,-0.23571,148.95,-2982.8,195.76
128,0,-0.302438,-0.124661,0.793818,-0.512682,146.554,-2866.14,168.414,-0.406055,-0.0509254,0.882598,-0.231402,146.661,-2979.52,194.106
129,0,-0.29998,-0.11903,0.793218,-0.51638,146.486,-2866.28,168.399,,,,,,,
130,0,-0.301406,-0.117585,0.786815,-0.525596,146.446,-2866.6,168.447,,,,,,,
131,0,-0.302132,-0.118925,0.782212,-0.531712,146.711,-2866.99,168.651,,,,,,,
132,0,-0.306393,-0.120344,0.776358,-0.537502,146.852,-2867.81,168.47,,,,,,,
133,0,-0.308593,-0.118478,0.773571,-0.540668,146.912,-2868.09,168.414,-0.534717,0.197925,-0.430214,0.699871,143.667,-2948.27,227.823
134,0,-0.310144,-0.118224,0.773292,-0.540234,146.998,-2868.2,168.39,-0.615782,0.303232,-0.354715,0.634854,142.14,-2942.72,224.583
135,0,-0.312206,-0.116823,0.772131,-0.541011,147.095,-2868.33,168.4,,,,,,,
136,0,-0.315845,-0.112082,0.767735,-0.546135,147.264,-2868.54,168.122,,,,,,,
137,0,-0.312562,-0.110588,0.774953,-0.538073,147.46,-2867.97,168.362,,,,,,,
138,0,-0.310919,-0.107475,0.784503,-0.525675,147.748,-2867.28,168.538,,,,,,,
139,0,-0.308931,-0.111306,0.794779,-0.510391,148.061,-2866.95,168.786,,,,,,,
140,0,-0.312853,-0.109908,0.792899,-0.511229,148.183,-2867.04,168.918,,,,,,,
141,0,-0.312807,-0.108674,0.794057,-0.509721,148.363,-2866.91,168.965,,,,,,,
142,0,-0.311037,-0.109314,0.79642,-0.506973,148.683,-2866.86,169.048,-0.0134344,-0.41925,-0.907509,-0.0218283,110.893,-2942.59,220.352
143,0,-0.310963,-0.107548,0.795072,-0.509506,149.095,-2866.89,168.757,-0.0440157,-0.403656,-0.913794,-0.0102134,111.662,-2942.69,222.028
144,0,-0.31229,-0.113315,0.796601,-0.505036,149.548,-2867.09,168.73,-0.0379681,-0.400052,-0.915496,-0.0196014,111.556,-2942.86,222.142
145,0,-0.314187,-0.109091,0.790263,-0.514655,149.724,-2867.33,168.548,0.410509,-0.642385,-0.439293,0.475231,113.847,-2944.19,215.22
146,0,-0.315494,-0.110675,0.789534,-0.514636,149.971,-2867.63,168.651,0.436215,-0.653656,-0.434895,0.439678,114.575,-2943.56,212.577
147,0,-0.319754,-0.100544,0.786114,-0.5193,149.945,-2867.67,168.422,0.490202,-0.686474,-0.396879,0.361859,114.881,-2943.12,208.947
148,0,-0.314033,-0.10222,0.783475,-0.526404,150.294,-2868.04,168.589,,,,,,,
149,0,-0.321952,-0.0965331,0.782034,-0.524834,150.096,-2868.14,168.246,,,,,,,
150,0,-0.320027,-0.101965,0.785994,-0.519036,150.797,-2868.57,168.447,,,,,,,
151,0,-0.323012,-0.102948,0.776468,-0.531189,151.033,-2869.22,168.779,,,,,,,
152,0,-0.3192,-0.101366,0.77779,-0.531863,151.627,-2869.29,169.092,,,,,,,
153,0,-0.318312,-0.106158,0.781467,-0.52604,151.79,-2869.31,169.162,,,,,,,
154,0,-0.320177,-0.106927,0.779678,-0.527404,151.97,-2869.44,169.522,,,,,,,
155,0,-0.319349,-0.108932,0.778776,-0.528827,152.249,-2869.58,169.739,,,,,,,
156,0,-0.317731,-0.113386,0.786609,-0.517144,152.913,-2869.7,169.916,,,,,,,
157,0,-0.320334,-0.112763,0.788338,-0.513025,153.04,-2869.62,169.806,-0.22641,-0.617824,0.747427,0.0915704,113.559,-2942.37,210.824
158,0,-0.317393,-0.118668,0.791379,-0.508821,153.789,-2869.85,170.232,-0.227763,-0.624372,0.741755,0.0899067,113.795,-2942.47,210.611
159,0,-0.313046,-0.121842,0.794444,-0.50598,154.964,-2870.21,170.59,-0.237522,-0.635944,0.730994,0.0693342,114.773,-2941.92,209.52
160,0,-0.313569,-0.116515,0.79487,-0.506242,155.263,-2869.99,170.846,-0.250859,-0.637041,0.727927,0.0370212,118.226,-2941.52,208.346
